Komoditas,Tahun,Luas Lahan Panen,Produksi
Bawang Merah,2005,0,0
Bawang Merah,2006,0,0
Bawang Merah,2007,0,0
Bawang Merah,2008,0,0.083
Bawang Merah,2009,0,0
Bawang Merah,2010,0,0
Bawang Merah,2011,0,0
Bawang Merah,2012,18,0
Bawang Merah,2013,18,0
Bawang Merah,2014,18,0
Bawang Merah,2015,0,3.947
Bawang Merah,2016,39,8.771
Bawang Merah,2017,76,120.42
Bawang Merah,2018,95,11.44
Bawang Merah,2019,140,18.15
Bawang Merah,2020,328,34.704
Bawang Merah,2021,1296,139.862
Bawang Merah,2022,436,49.11
Bawang Merah,2023,321,0.038895
Buncis,2005,144,8.068
Buncis,2006,74,4.547
Buncis,2007,71,3.362
Buncis,2008,92,9.38
Buncis,2009,55,1.306
Buncis,2010,46,1.092
Buncis,2011,46,0.813
Buncis,2012,61,1.158
Buncis,2013,61,8.126
Buncis,2014,61,8.07
Buncis,2015,60,6.659
Buncis,2016,110,7.931
Buncis,2017,68,9.139
Buncis,2018,93,12.067
Buncis,2019,110,17.805
Buncis,2020,83,20.295
Buncis,2021,114,37.359
Buncis,2022,138,40.008
Buncis,2023,123,48.116
Cabai Besar,2005,439,4.571
Cabai Besar,2006,2044,49.393
Cabai Besar,2007,2972,40.912
Cabai Besar,2008,2044,82.977
Cabai Besar,2009,745,8.979
Cabai Besar,2010,862,10.149
Cabai Besar,2011,859,11.507
Cabai Besar,2012,919,8.354
Cabai Besar,2013,919,15.068
Cabai Besar,2014,199,203.277
Cabai Besar,2015,313,194.75
Cabai Besar,2016,2,196.868
Cabai Besar,2017,3,195.419
Cabai Besar,2018,3457,191.526
Cabai Besar,2019,1387,177.549
Cabai Besar,2020,1038,114.923
Cabai Besar,2021,663,71.063
Cabai Besar,2022,305,29.399
Cabai Besar,2023,370,0.040943
Cabai Rawit,2005,2007,8.531
Cabai Rawit,2006,447,85.266
Cabai Rawit,2007,442,55.868
Cabai Rawit,2008,447,94.946
Cabai Rawit,2009,4750,25.397
Cabai Rawit,2010,4084,21.836
Cabai Rawit,2011,3447,10.188
Cabai Rawit,2012,6005,23.085
Cabai Rawit,2013,6005,10.875
Cabai Rawit,2014,6,346.466
Cabai Rawit,2015,313,310.279
Cabai Rawit,2016,20,788.85
Cabai Rawit,2017,7877,808.527
Cabai Rawit,2018,11044,718.13
Cabai Rawit,2019,11024,1503.782
Cabai Rawit,2020,10745,1881.377
Cabai Rawit,2021,10013,713.37
Cabai Rawit,2022,10300,0.790133
Cabai Rawit,2023,9.881,0.441909
Jagung,2005,44118,273.603
Jagung,2006,4115,244.292
Jagung,2007,39826,236.6
Jagung,2008,48941,303.202
Jagung,2009,48197,306.349
Jagung,2010,46594,303.726
Jagung,2011,40395,237.203
Jagung,2012,40395,240.295
Jagung,2013,47630,159.737
Jagung,2014,49636,307.769
Jagung,2015,56410,342.817
Jagung,2016,50462,172.516
Jagung,2017,52099,320.544
Jagung,2018,56978,350.818
Jagung,2019,59276,3918.06
Jagung,2020,60071,401.44
Jagung,2021,48028,3247.668
Jagung,2022,50236,3086.119
Jagung,2023,42.119,2445.882
Kacang Panjang,2005,433,3.231
Kacang Panjang,2006,344,25.834
Kacang Panjang,2007,519,26.309
Kacang Panjang,2008,344,74.488
Kacang Panjang,2009,535,10.738
Kacang Panjang,2010,368,7.185
Kacang Panjang,2011,224,3.603
Kacang Panjang,2012,299,4.708
Kacang Panjang,2013,299,36.032
Kacang Panjang,2014,229,63.287
Kacang Panjang,2015,313,45.019
Kacang Panjang,2016,518,42.534
Kacang Panjang,2017,507,35.915
Kacang Panjang,2018,200,37.901
Kacang Panjang,2019,255,48.472
Kacang Panjang,2020,193,28.488
Kacang Panjang,2021,187,27.745
Kacang Panjang,2022,178,25.48
Kacang Panjang,2023,152,0.026161
Kacang Tanah,2005,6381,4.497
Kacang Tanah,2006,5864,5.838
Kacang Tanah,2007,5121,5.075
Kacang Tanah,2008,7968,8.879
Kacang Tanah,2009,6121,7.198
Kacang Tanah,2010,6899,6.899
Kacang Tanah,2011,5850,6.259
Kacang Tanah,2012,5850,6.785
Kacang Tanah,2013,5850,5.096
Kacang Tanah,2014,4551,5.347
Kacang Tanah,2015,4798,5.347
Kacang Tanah,2016,4828,4.768
Kacang Tanah,2017,5220,60.521
Kacang Tanah,2018,5448,6.39
Kacang Tanah,2019,4572,63.908
Kacang Tanah,2020,1193,11.671
Kacang Tanah,2021,905,10.081
Kacang Tanah,2022,1041,11.033
Kacang Tanah,2023,856,9.925
Kedelai,2005,10823,9.503
Kedelai,2006,1091,10.629
Kedelai,2007,11529,10.502
Kedelai,2008,11592,11.908
Kedelai,2009,11.459,12.731
Kedelai,2010,11.003,10.838
Kedelai,2011,11098,11.564
Kedelai,2012,11098,12.386
Kedelai,2013,10338,12.147
Kedelai,2014,10696,16.597
Kedelai,2015,11473,16.597
Kedelai,2016,8399,12.362
Kedelai,2017,7000,9.055
Kedelai,2018,7563,10.156
Kedelai,2019,10514,149.593
Kedelai,2020,4572,67.243
Kedelai,2021,3610,46.93
Kedelai,2022,3141,43.04
Kedelai,2023,5261,72.534
Kentang,2005,0,0
Kentang,2006,15,1.335
Kentang,2007,20,2.925
Kentang,2008,11,3.128
Kentang,2009,51,0.349
Kentang,2010,10,1.032
Kentang,2011,46,0.918
Kentang,2012,46,0.655
Kentang,2013,46,9.184
Kentang,2014,46,8.531
Kentang,2015,65,16.871
Kentang,2016,30,5.112
Kentang,2017,20,4.31
Kentang,2018,16,3.35
Kentang,2019,36,8.27
Kentang,2020,51,10.61
Kentang,2021,83,13.659
Kentang,2022,38,6.94
Kentang,2023,36,6.7
Ketela Pohon,2005,3974,71.687
Ketela Pohon,2006,3776,52.131
Ketela Pohon,2007,3347,41.832
Ketela Pohon,2008,3248,45.381
Ketela Pohon,2009,3441,44.977
Ketela Pohon,2010,3679,54.496
Ketela Pohon,2011,4225,89.554
Ketela Pohon,2012,4225,95.417
Ketela Pohon,2013,2726,61.663
Ketela Pohon,2014,4065,43.396
Ketela Pohon,2015,3570,100.758
Ketela Pohon,2016,4156,92.961
Ketela Pohon,2017,3388,76.157
Ketela Pohon,2018,3982,89.26
Ketela Pohon,2019,4465,1219.022
Ketela Pohon,2020,3344,756.81
Ketela Pohon,2021,3280,739.01
Ketela Pohon,2022,2786,626.709
Ketela Pohon,2023,2.101,473.754
Ketela Rambat,2005,134,1.586
Ketela Rambat,2006,121,2.254
Ketela Rambat,2007,99,2.495
Ketela Rambat,2008,105,2.424
Ketela Rambat,2009,67,1.195
Ketela Rambat,2010,76,1.423
Ketela Rambat,2011,97,2.175
Ketela Rambat,2012,98,2.177
Ketela Rambat,2013,97,0.711
Ketela Rambat,2014,207,4.517
Ketela Rambat,2015,212,4.222
Ketela Rambat,2016,150,3.426
Ketela Rambat,2017,194,3.486
Ketela Rambat,2018,190,3.979
Ketela Rambat,2019,279,811.401
Ketela Rambat,2020,404,87.002
Ketela Rambat,2021,279,57.709
Ketela Rambat,2022,184,39.163
Ketela Rambat,2023,105,21.622
Ketimun,2005,114,0.864
Ketimun,2006,104,27.827
Ketimun,2007,84,13.814
Ketimun,2008,63,11.4
Ketimun,2009,101,1.975
Ketimun,2010,148,2.895
Ketimun,2011,129,3.468
Ketimun,2012,14,2.244
Ketimun,2013,114,34.682
Ketimun,2014,114,34.132
Ketimun,2015,156,33.832
Ketimun,2016,258,0
Ketimun,2017,314,20.814
Ketimun,2018,150,32.119
Ketimun,2019,166,37.509
Ketimun,2020,120,19.546
Ketimun,2021,165,33.195
Ketimun,2022,182,35.373
Ketimun,2023,170,0.039608
Kubis,2005,105,23.163
Kubis,2006,100,51.852
Kubis,2007,81,16.765
Kubis,2008,100,9.38
Kubis,2009,175,3.07
Kubis,2010,142,2.403
Kubis,2011,99,1.858
Kubis,2012,168,3.368
Kubis,2013,168,18.576
Kubis,2014,168,21.996
Kubis,2015,47,11.283
Kubis,2016,23,3.146
Kubis,2017,74,13.854
Kubis,2018,62,9.589
Kubis,2019,114,21.395
Kubis,2020,147,35.667
Kubis,2021,182,33.838
Kubis,2022,144,20.822
Kubis,2023,127,0.018737
Melon,2005,0,0.866
Melon,2006,9,0.751
Melon,2007,11,1.816
Melon,2008,14,1.942
Melon,2009,25,0.513
Melon,2010,44,0.904
Melon,2011,121,2.723
Melon,2012,195,5.009
Melon,2013,195,27.234
Melon,2014,195,37.997
Melon,2015,81,22.699
Melon,2016,61,16.86
Melon,2017,130,35.676
Melon,2018,170,45.882
Melon,2019,122,31.881
Melon,2020,92,29.32
Melon,2021,82,23.167
Melon,2022,55,11.207
Melon,2023,85,14.322
Padi Ladang,2005,2353,16.327
Padi Ladang,2006,2743,21.498
Padi Ladang,2007,2885,21.629
Padi Ladang,2008,2675,19.258
Padi Ladang,2009,3219,19.263
Padi Ladang,2010,3039,23.199
Padi Ladang,2011,3788,32.289
Padi Ladang,2012,4330,36.713
Padi Ladang,2013,6083,49.79
Padi Ladang,2014,6681,23.983
Padi Ladang,2015,5333,46.382
Padi Ladang,2016,7540,64.635
Padi Ladang,2017,8345,89.055
Padi Ladang,2018,9078,64.7
Padi Ladang,2019,5762,420.055
Padi Ladang,2020,6592,49.123
Padi Ladang,2021,7511,626.009
Padi Ladang,2022,6370,522.074
Padi Ladang,2023,4.911,394.544
Padi Sawah,2005,42922,402.553
Padi Sawah,2006,45621,466.582
Padi Sawah,2007,41721,427.151
Padi Sawah,2008,40912,437.109
Padi Sawah,2009,41738,453.82
Padi Sawah,2010,49662,453.826
Padi Sawah,2011,54357,618.896
Padi Sawah,2012,45355,519.154
Padi Sawah,2013,46880,511.48
Padi Sawah,2014,46035,481.263
Padi Sawah,2015,53713,526.543
Padi Sawah,2016,57458,601.318
Padi Sawah,2017,51460,596.991
Padi Sawah,2018,51219,552.014
Padi Sawah,2019,43303,4770.153
Padi Sawah,2020,44912,5020.27
Padi Sawah,2021,45384,5805.936
Padi Sawah,2022,43669,5578.058
Padi Sawah,2023,45.196,5364.61
Sawi,2005,92,9.143
Sawi,2006,0,7.634
Sawi,2007,52,6.605
Sawi,2008,46,4.146
Sawi,2009,43,0.401
Sawi,2010,48,0.345
Sawi,2011,53,0.274
Sawi,2012,60,0.236
Sawi,2013,60,2.738
Sawi,2014,60,3.365
Sawi,2015,82,5.099
Sawi,2016,93,4.938
Sawi,2017,97,5.111
Sawi,2018,87,5.158
Sawi,2019,86,4.768
Sawi,2020,74,6.172
Sawi,2021,95,7.905
Sawi,2022,126,8.251
Sawi,2023,120,8.328
Semangka,2005,0,4.527
Semangka,2006,64,10.32
Semangka,2007,94,15.365
Semangka,2008,73,8.024
Semangka,2009,92,2.2
Semangka,2010,56,1.339
Semangka,2011,116,2.556
Semangka,2012,121,3.028
Semangka,2013,121,25.557
Semangka,2014,121,19.115
Semangka,2015,111,23.53
Semangka,2016,128,38.458
Semangka,2017,188,54.812
Semangka,2018,181,54.702
Semangka,2019,151,48.96
Semangka,2020,55,24.375
Semangka,2021,40,10.835
Semangka,2022,52,8.86
Semangka,2023,41,7.34
Terung,2005,242,13.832
Terung,2006,106,18.07
Terung,2007,123,19.592
Terung,2008,128,54.158
Terung,2009,103,2.452
Terung,2010,121,2.881
Terung,2011,161,3.442
Terung,2012,127,2.605
Terung,2013,127,34.422
Terung,2014,127,41.842
Terung,2015,138,27.668
Terung,2016,284,16.9
Terung,2017,113,25.613
Terung,2018,106,20.738
Terung,2019,130,23.706
Terung,2020,112,11.65
Terung,2021,152,16.92
Terung,2022,180,15.783
Terung,2023,182,13.637
Tomat,2005,242,2.69
Tomat,2006,194,23.451
Tomat,2007,170,19.029
Tomat,2008,128,37.428
Tomat,2009,119,3.263
Tomat,2010,153,4.195
Tomat,2011,176,3.697
Tomat,2012,147,2.731
Tomat,2013,147,36.971
Tomat,2014,147,45.067
Tomat,2015,168,34.005
Tomat,2016,239,18.217
Tomat,2017,237,3.311
Tomat,2018,120,23.565
Tomat,2019,166,30.415
Tomat,2020,120,28.162
Tomat,2021,155,36.278
Tomat,2022,195,43.02
Tomat,2023,172,0.051877
